Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
ACC,2026,men,acc_2026,50 Free,18.63,19.10,19.43,18.63,19.1,19.43,0.0533,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,men,acc_2026,100 Free,40.93,41.88,42.40,40.93,41.88,42.4,0.098,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,men,acc_2026,200 Free,1:31.05,1:33.61,1:35.62,91.05,93.61,95.62,0.3047,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,men,acc_2026,500 Free,4:09.44,4:23.12,4:21.31,249.44,263.12,261.31,0.7913,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,men,acc_2026,1650 Free,14:32.68,14:57.35,15:07.09,872.68,897.35,907.09,2.294,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,men,acc_2026,100 Back,44.21,45.06,47.98,44.21,45.06,47.98,0.2513,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,men,acc_2026,200 Back,1:39.08,1:40.03,1:40.72,99.08,100.03,100.72,0.1093,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,men,acc_2026,100 Breast,50.32,52.18,52.66,50.32,52.18,52.66,0.156,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,men,acc_2026,200 Breast,1:48.87,1:53.92,1:56.44,108.87,113.92,116.44,0.5047,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,men,acc_2026,100 Fly,44.07,45.32,46.15,44.07,45.32,46.15,0.1387,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,men,acc_2026,200 Fly,1:38.78,1:42.26,1:44.23,98.78,102.26,104.23,0.3633,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,men,acc_2026,200 IM,1:40.39,1:43.73,1:44.93,100.39,103.73,104.93,0.3027,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,men,acc_2026,400 IM,3:38.58,3:42.79,3:46.31,218.58,222.785,226.31,0.5153,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,50 Free,21.09,21.99,22.05,21.09,21.99,22.05,0.064,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,100 Free,45.71,47.84,48.20,45.71,47.84,48.2,0.166,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,200 Free,1:39.72,1:43.25,1:45.55,99.72,103.25,105.55,0.3887,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,500 Free,4:33.78,4:39.91,4:46.17,273.78,279.91,286.17,0.826,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,1650 Free,15:45.20,16:23.18,16:37.29,945.2,983.18,997.29,3.4727,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,100 Back,48.38,51.23,52.07,48.38,51.23,52.07,0.246,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,200 Back,1:46.09,1:51.46,1:56.83,106.09,111.46,116.83,0.716,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,100 Breast,56.77,58.94,1:01.38,56.77,58.94,61.38,0.3073,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,200 Breast,2:04.82,2:07.45,2:10.19,124.82,127.45,130.19,0.358,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,100 Fly,48.26,51.05,52.47,48.26,51.05,52.47,0.2807,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,200 Fly,1:51.52,1:55.21,1:57.00,111.52,115.21,117.0,0.3653,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,200 IM,1:51.27,1:56.28,1:58.59,111.27,116.28,118.59,0.488,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
ACC,2026,women,acc_2026,400 IM,3:59.11,4:05.10,4:13.01,239.11,245.1,253.01,0.9267,2026_acc_championship_full_meet_results.pdf,prelim_fallback,,,
